The DICOM tags for the first dicom file in this scan.
Tag	Description	Value
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
(5200,9230)	Pixel Value Transformation Sequence	
(5200,9230)	Per-frame Functional Groups Sequence	
(5200,9230)	MR Echo Sequence	
(5200,9230)	MR Averages Sequence	
(5200,9230)	MR Image Frame Type Sequence	
(5200,9230)	Frame Content Sequence	
(5200,9230)	Plane Position Sequence	
(5200,9230)	Plane Orientation Sequence	
(5200,9230)	Private Creator Data Element	SIEMENS MR SDI 02
(5200,9230)	?	
(5200,9230)	Pixel Measures Sequence	
(5200,9230)	Frame VOI LUT Sequence	
